"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","79,060","79,500","79,792","78,888","16.89K","-1.13%"
"02/27/2025","79,963","80,908","80,947","79,850","12.91K","-1.39%"
"02/26/2025","81,088","80,935","81,269","80,788","10.40K","0.71%"
"02/25/2025","80,520","80,305","80,852","79,923","13.98K","0.38%"
"02/24/2025","80,219","81,550","81,590","80,068","14.32K","-1.86%"
"02/21/2025","81,743","81,829","81,966","81,462","9.91K","0.34%"
"02/20/2025","81,466","81,303","81,740","81,005","11.79K","0.10%"
"02/19/2025","81,388","81,680","81,982","81,144","13.58K","-0.56%"
"02/18/2025","81,849","81,220","81,993","81,138","8.93K","0.87%"
"02/17/2025","81,147","81,650","81,780","80,786","9.29K","-0.25%"
"02/14/2025","81,353","81,230","81,717","81,166","9.95K","0.88%"
"02/13/2025","80,642","81,052","81,369","80,415","12.09K","0.10%"
"02/12/2025","80,564","80,505","81,218","80,336","14.19K","0.33%"
"02/11/2025","80,302","80,307","80,370","80,028","12.67K","-0.18%"
"02/10/2025","80,450","80,100","80,691","80,100","10.06K","0.25%"
"02/07/2025","80,251","80,099","80,520","80,000","15.39K","0.57%"
"02/06/2025","79,794","79,520","80,451","79,352","13.12K","0.93%"
"02/05/2025","79,055","79,008","79,425","78,818","13.65K","0.06%"
"02/04/2025","79,008","78,395","79,328","78,333","17.26K","1.36%"
"02/03/2025","77,946","77,450","78,400","77,010","14.19K","-0.74%"
"01/31/2025","78,525","78,400","78,623","78,116","11.57K","0.54%"
"01/30/2025","78,102","77,895","78,170","77,577","8.97K","0.38%"
"01/29/2025","77,810","77,095","78,025","77,095","11.88K","1.12%"
"01/28/2025","76,948","76,995","77,268","76,443","11.20K","0.09%"
"01/27/2025","76,880","76,280","76,940","75,861","12.99K","0.38%"
"01/24/2025","76,589","76,711","77,350","76,509","10.93K","0.23%"
"01/23/2025","76,414","76,958","76,958","76,202","11.78K","-0.77%"
"01/22/2025","77,008","77,275","77,620","76,925","11.28K","-0.27%"
"01/21/2025","77,216","77,025","77,414","76,764","9.79K","0.16%"
"01/20/2025","77,095","77,300","77,520","76,828","9.90K","0.11%"
"01/17/2025","77,007","76,095","77,050","76,095","9.89K","1.35%"
"01/16/2025","75,982","76,195","76,581","75,760","14.33K","0.11%"
"01/15/2025","75,898","74,615","76,031","74,471","15.01K","2.03%"
"01/14/2025","74,387","75,010","75,224","74,342","16.56K","-0.06%"
"01/13/2025","74,433","75,320","75,392","74,092","15.24K","-1.35%"
"01/10/2025","75,454","76,263","76,477","75,341","12.13K","-0.60%"
"01/09/2025","75,907","75,699","76,230","75,466","11.09K","0.55%"
"01/08/2025","75,490","75,850","76,091","75,293","16.81K","-0.86%"
"01/07/2025","76,147","76,500","76,643","75,843","13.64K","-1.22%"
"01/06/2025","77,085","76,880","77,780","76,880","12.05K","0.06%"
"01/03/2025","77,035","76,600","77,366","76,199","13.15K","0.44%"
"01/02/2025","76,696","76,616","77,158","76,285","13.59K","0.48%"
"12/31/2024","76,326","76,296","76,700","76,122","4.60K","-0.13%"
"12/30/2024","76,426","77,195","77,195","76,225","14.01K","-0.98%"
"12/27/2024","77,179","77,610","77,800","76,895","14.52K","-0.23%"
"12/24/2024","77,360","77,481","77,772","77,312","4.92K","0.41%"
"12/23/2024","77,046","77,425","77,595","76,633","12.03K","-0.29%"
"12/20/2024","77,270","76,971","77,384","76,361","16.11K","-0.02%"
"12/19/2024","77,282","77,485","77,609","77,115","21.21K","-1.46%"
"12/18/2024","78,424","78,502","79,183","78,150","20.68K","-0.16%"
"12/17/2024","78,552","79,975","79,990","78,486","35.34K","-1.71%"
"12/13/2024","79,916","78,090","79,916","78,000","22.19K","2.14%"
"12/12/2024","78,242","78,795","79,095","78,230","12.84K","-0.35%"
"12/11/2024","78,515","78,695","78,695","78,129","13.12K","-0.25%"
"12/10/2024","78,710","78,790","78,964","78,405","14.35K","-0.59%"
"12/09/2024","79,181","78,591","79,290","78,217","11.77K","0.71%"
"12/06/2024","78,620","78,711","78,932","78,412","11.25K","0.18%"
"12/05/2024","78,479","78,095","78,750","77,869","12.45K","0.61%"
"12/04/2024","78,000","77,575","78,234","77,488","11.15K","0.56%"
"12/03/2024","77,565","77,728","78,309","77,302","18.85K","-0.13%"
"12/02/2024","77,668","76,481","77,776","76,449","16.90K","1.31%"
"11/29/2024","76,661","76,780","76,813","76,256","9.45K","-0.02%"
"11/28/2024","76,675","76,970","77,068","76,540","6.36K","-0.12%"
"11/27/2024","76,769","77,395","77,630","76,710","12.46K","-0.48%"
"11/26/2024","77,143","76,550","77,364","76,283","14.84K","0.41%"
"11/25/2024","76,829","77,505","77,769","76,735","16.09K","-0.98%"
"11/22/2024","77,587","77,662","77,979","77,264","11.85K","0.28%"
"11/21/2024","77,373","77,205","77,741","77,172","12.05K","0.72%"
"11/20/2024","76,821","76,990","77,482","76,773","12.32K","0.34%"
"11/19/2024","76,560","77,050","77,334","76,511","12.87K","-0.26%"
"11/18/2024","76,756","76,386","76,807","76,339","13.42K","0.58%"
"11/15/2024","76,310","76,055","76,635","75,866","10.95K","-0.02%"
"11/14/2024","76,323","76,000","76,486","75,833","15.45K","0.38%"
"11/13/2024","76,033","76,305","76,500","75,970","12.42K","-0.66%"
"11/12/2024","76,540","76,779","76,831","76,255","14.70K","-0.76%"
"11/11/2024","77,127","77,409","77,772","77,087","10.45K","-0.24%"
"11/08/2024","77,312","78,222","78,222","77,250","14.67K","-1.46%"
"11/07/2024","78,460","78,260","78,726","78,129","15.37K","0.56%"
"11/06/2024","78,025","78,920","79,080","77,575","18.18K","-1.29%"
"11/05/2024","79,044","78,695","79,110","78,660","12.10K","0.44%"
"11/04/2024","78,699","78,691","78,958","78,480","10.68K","-0.18%"
"11/01/2024","78,839","78,320","78,905","78,256","13.96K","0.85%"
"10/31/2024","78,172","78,869","78,930","77,870","15.59K","-1.45%"
"10/30/2024","79,320","79,605","79,695","79,001","13.16K","-0.46%"
"10/29/2024","79,690","80,288","80,490","79,500","13.39K","-0.83%"
"10/28/2024","80,358","79,613","80,371","79,467","13.12K","0.79%"
"10/25/2024","79,731","79,680","79,937","79,390","8.94K","0.04%"
"10/24/2024","79,699","79,495","80,167","79,451","11.95K","0.46%"
"10/23/2024","79,333","79,787","79,936","79,100","13.44K","-0.36%"
"10/22/2024","79,619","79,695","79,905","78,851","14.64K","-0.27%"
"10/21/2024","79,834","79,950","80,337","79,652","11.15K","-0.25%"
"10/18/2024","80,037","79,884","80,389","79,770","12.16K","0.62%"
"10/17/2024","79,540","79,405","79,950","79,001","13.25K","0.36%"
"10/16/2024","79,257","78,650","79,470","78,501","12.76K","0.74%"
"10/15/2024","78,675","78,788","78,918","78,298","12.99K","-0.55%"
"10/14/2024","79,114","79,004","79,408","78,636","12.17K","0.23%"
"10/11/2024","78,935","78,300","79,120","78,162","13.58K","0.98%"
"10/10/2024","78,171","78,516","78,516","78,068","13.45K","-0.18%"
"10/09/2024","78,314","78,399","78,503","77,587","16.83K","-0.08%"
"10/08/2024","78,374","78,200","78,493","77,740","19.95K","-1.00%"
"10/07/2024","79,162","79,350","79,669","78,948","15.43K","-0.28%"
"10/04/2024","79,385","79,650","79,979","79,083","13.04K","0.01%"
"10/03/2024","79,374","79,900","80,222","79,091","16.13K","-0.84%"
"10/02/2024","80,045","80,000","80,636","79,851","14.28K","0.56%"
"10/01/2024","79,597","79,950","80,409","79,305","20.30K","-0.03%"
