Date,Close,Open,High,Low,Volume,Change %
02/28/2025,0.01102,0.01101,0.01104,0.01098,,0.07%
02/27/2025,0.01101,0.01095,0.01101,0.01092,,0.62%
02/26/2025,0.01094,0.01092,0.01096,0.0109,,0.24%
02/25/2025,0.01091,0.01102,0.01103,0.01091,,-0.96%
02/24/2025,0.01102,0.011,0.01104,0.01097,,-0.14%
02/21/2025,0.01104,0.011,0.01105,0.01099,,0.40%
02/20/2025,0.01099,0.01104,0.01107,0.01099,,-0.43%
02/19/2025,0.01104,0.01102,0.01106,0.011,,0.25%
02/18/2025,0.01101,0.01098,0.01103,0.01098,,0.29%
02/17/2025,0.01098,0.01101,0.01101,0.01097,,-0.17%
02/14/2025,0.011,0.01102,0.01103,0.01098,,-0.20%
02/13/2025,0.01102,0.01108,0.01112,0.01102,,-0.54%
02/12/2025,0.01108,0.01112,0.01118,0.01103,,-0.33%
02/11/2025,0.01112,0.01109,0.0112,0.01109,,0.25%
02/10/2025,0.01109,0.01105,0.0111,0.01103,,0.42%
02/07/2025,0.01104,0.011,0.01107,0.01097,,0.45%
02/06/2025,0.01099,0.01101,0.01103,0.01098,,-0.10%
02/05/2025,0.01101,0.01107,0.01107,0.01096,,-0.51%
02/04/2025,0.01106,0.01111,0.01118,0.01105,,-0.47%
02/03/2025,0.01111,0.01123,0.01131,0.01111,,-0.27%
01/31/2025,0.01114,0.01112,0.01116,0.01107,,0.27%
01/30/2025,0.01111,0.01108,0.01112,0.01103,,0.35%
01/29/2025,0.01107,0.01107,0.01113,0.01106,,0.00%
01/28/2025,0.01107,0.01104,0.0111,0.01103,,0.33%
01/27/2025,0.01103,0.01106,0.01109,0.011,,-0.15%
01/24/2025,0.01105,0.01111,0.01111,0.01102,,-0.48%
01/23/2025,0.0111,0.01111,0.01115,0.01108,,-0.06%
01/22/2025,0.01111,0.01109,0.01113,0.01107,,0.20%
01/21/2025,0.01109,0.01113,0.0112,0.01108,,-0.40%
01/20/2025,0.01113,0.01124,0.01125,0.01111,,-0.99%
01/17/2025,0.01124,0.01121,0.01125,0.01118,,0.29%
01/16/2025,0.01121,0.01125,0.01126,0.0112,,-0.32%
01/15/2025,0.01125,0.01121,0.01128,0.01118,,0.35%
01/14/2025,0.01121,0.01126,0.01128,0.01121,,-0.48%
01/13/2025,0.01126,0.01133,0.01135,0.01126,,-0.49%
01/10/2025,0.01132,0.0113,0.01136,0.01127,,0.16%
01/09/2025,0.0113,0.01128,0.01132,0.01128,,0.20%
01/08/2025,0.01128,0.01127,0.01133,0.01125,,0.07%
01/07/2025,0.01127,0.01123,0.01128,0.01118,,0.37%
01/06/2025,0.01123,0.01132,0.01133,0.01119,,-0.73%
