Date,open,high,low,Close,Volume
2014-12-31,8243.9004,8291,8243.75,8282.7002,84533002
2015-01-01,8272.7998,8294.7002,8248.75,8284,56560001
2015-01-02,8288.7002,8410.5996,8288.7002,8395.4502,101887001
2015-01-05,8407.9502,8445.5996,8363.9004,8378.4004,118160998
2015-01-06,8325.2998,8327.8496,8111.3501,8127.3501,172800000
2015-01-07,8118.6499,8151.2002,8065.4502,8102.1001,164074996
2015-01-08,8191.3999,8243.5,8167.2998,8234.5996,143803007
2015-01-09,8285.4502,8303.2998,8190.7998,8284.5,152612995
2015-01-12,8291.3496,8332.5996,8245.5996,8323,103154000
2015-01-13,8346.1504,8356.6504,8267.9004,8299.4004,129562001
2015-01-14,8307.25,8326.4502,8236.6504,8277.5498,150621995
2015-01-15,8424.5,8527.0996,8380.5498,8494.1504,232138998
2015-01-16,8504.0498,8530.75,8452.25,8513.7998,181365998
2015-01-19,8550.0498,8570.9502,8531.5,8550.7002,129346003
2015-01-20,8575.0996,8707.9004,8574.5,8695.5996,158714003
2015-01-21,8719.6504,8741.8496,8689.5996,8729.5,191651004
2015-01-22,8745.8496,8774.1504,8727,8761.4004,180911997
2015-01-23,8827.9502,8866.4004,8795.4004,8835.5996,197124997
2015-01-27,8871.3496,8925.0498,8825.4502,8910.5,192010994
2015-01-28,8902.75,8985.0498,8874.0498,8914.2998,190806000
2015-01-29,8901.5,8966.6504,8861.25,8952.3496,264246002
2015-01-30,8996.5996,8996.5996,8775.0996,8808.9004,275587990
2015-02-02,8802.5,8840.7998,8751.0996,8797.4004,216556995
2015-02-03,8823.1504,8837.2998,8726.6504,8756.5498,208671998
2015-02-04,8789.1504,8792.8496,8704.4004,8723.7002,201251996
2015-02-05,8733.0996,8838.4502,8683.6504,8711.7002,179008995
2015-02-06,8696.8496,8726.2002,8645.5498,8661.0498,176554000
2015-02-09,8584.4004,8605.5498,8516.3496,8526.3496,151329997
2015-02-10,8478.0996,8646.25,8470.5,8565.5498,202295001
2015-02-11,8603.2998,8651.9502,8593.6504,8627.4004,166561006
2015-02-12,8676.9502,8732.5498,8599.25,8711.5498,163680993
2015-02-13,8741.5,8822.0996,8729.6504,8805.5,228807999
2015-02-16,8831.4004,8870.0996,8793.4004,8809.3496,140636996
2015-02-18,8811.5498,8894.2998,8808.9004,8869.0996,152152998
2015-02-19,8883.0498,8913.4502,8794.4502,8895.2998,219867005
2015-02-20,8895.5,8899.9502,8816.2998,8833.5996,203715002
2015-02-23,8856.8496,8869,8736.0996,8754.9502,143931998
2015-02-24,8772.9004,8800.5,8726.75,8762.0996,154368999
2015-02-25,8801.9004,8840.6504,8751.4004,8767.25,139407000
2015-02-26,8779,8786.0498,8669.4502,8683.8496,224185008
2015-02-27,8729.5,8856.9502,8717.4502,8844.5996,257225998
2015-02-28,8913.0498,8941.0996,8751.3496,8901.8496,246453993
2015-03-02,8953.8496,8972.3496,8885.4502,8956.75,224772997
2015-03-03,8962.8496,9008.4004,8925.5498,8996.25,183251993
2015-03-04,9109.1504,9119.2002,8893.9502,8922.6504,256059998
2015-03-05,8929.4004,8957.5498,8849.3496,8937.75,165081006
2015-03-09,8891.1504,8891.2998,8740.4502,8756.75,160333005
2015-03-10,8769.75,8778,8677.3496,8712.0498,168915993
2015-03-11,8728.75,8755.5996,8682.3496,8699.9502,178053005
2015-03-12,8740.6504,8787.2002,8732.9004,8776,179338002
2015-03-13,8844.0498,8849.75,8631.75,8647.75,184665997
2015-03-16,8656.75,8663.5498,8612,8633.1504,168438006
2015-03-17,8689.0996,8742.5498,8630.7998,8723.2998,182504997
2015-03-18,8742.9004,8747.25,8664,8685.9004,161154007
2015-03-19,8749.4502,8788.2002,8614.6504,8634.6504,168627995
2015-03-20,8627.9004,8627.9004,8553,8570.9004,179983008
2015-03-23,8591.5498,8608.3496,8540.5498,8550.9004,155425997
2015-03-24,8537.0498,8627.75,8535.8496,8542.9502,161465008
2015-03-25,8568.9004,8573.75,8516.5498,8530.7998,165951996
2015-03-26,8474.9502,8499.4502,8325.3496,8342.1504,288758006
2015-03-27,8396,8413.2002,8269.1504,8341.4004,198978994
2015-03-30,8390.9502,8504.5498,8380.75,8492.2998,138884006
2015-03-31,8527.5996,8550.4502,8454.1504,8491,172364005
2015-04-01,8483.7002,8603.4004,8464.75,8586.25,129447002
2015-04-06,8615.7998,8667.5498,8573.75,8659.9004,151375004
2015-04-07,8684.4502,8693.5996,8586.8496,8660.2998,153264996
2015-04-08,8698.9502,8730.5,8679.7998,8714.4004,152800002
2015-04-09,8756.2002,8785.5,8682.4502,8778.2998,157407003
2015-04-10,8774.3496,8787.4004,8733.5996,8780.3496,143286993
2015-04-13,8801.75,8841.6504,8762.0996,8834,125365002
2015-04-15,8844.75,8844.7998,8722.4004,8750.2002,168583004
2015-04-16,8757.0498,8760,8645.6504,8706.7002,147265995
2015-04-17,8698.0498,8699.8496,8596.7002,8606,154977993
2015-04-20,8618.7998,8619.9502,8422.75,8448.0996,153513001
2015-04-21,8416.0996,8469.3496,8352.7002,8377.75,420431004
2015-04-22,8400.4004,8449.9502,8284.7002,8429.7002,177125999
2015-04-23,8478.2002,8504.9502,8361.8496,8398.2998,160803996
2015-04-24,8405.7002,8413.2998,8273.3496,8305.25,178990006
2015-04-27,8330.5498,8334.4502,8202.3496,8213.7998,176843997
2015-04-28,8215.5498,8308,8185.1499,8285.5996,179966001
2015-04-29,8274.7998,8308.2002,8219.2002,8239.75,165359993
2015-04-30,8224.5,8229.4004,8144.75,8181.5,276024001
2015-05-04,8230.0498,8346,8220.4502,8331.9502,135765000
2015-05-05,8338.4004,8355.6504,8280.5996,8324.7998,160335004
2015-05-06,8316.5996,8331.9502,8083,8097,216089002
2015-05-07,8077,8122.6001,7997.1499,8057.2998,166564004
2015-05-08,8131.5,8224.9502,8123.4502,8191.5,188776006
2015-05-11,8243.2002,8332.75,8224.6504,8325.25,197883003
2015-05-12,8326.1504,8326.6504,8115.2998,8126.9502,178753995
2015-05-13,8181.5498,8254.9502,8089.7998,8235.4502,175015002
2015-05-14,8232.4502,8236.25,8137.2998,8224.2002,138963993
2015-05-15,8240.2998,8279.2002,8212.2002,8262.3496,133837996
2015-05-18,8284.9502,8384.5996,8271.9502,8373.6504,153340002
2015-05-19,8356.2002,8427.7998,8335,8365.6504,144641999
2015-05-20,8392.6504,8440.3496,8391.4502,8423.25,127389000
2015-05-21,8434.5,8446.3496,8382.5,8421,148189004
2015-05-22,8432.5,8489.5498,8420.5996,8458.9502,193081000
2015-05-25,8438.1504,8441.9502,8364.1504,8370.25,125051003
2015-05-26,8377.0996,8378.9004,8320.0498,8339.3496,120429003
2015-05-27,8302.75,8342.8496,8277.9502,8334.5996,170582999
2015-05-28,8345.7002,8364.5,8270.1504,8319,239549006
2015-05-29,8327.0996,8443.9004,8305.7002,8433.6504,375232004
2015-06-01,8417.25,8467.1504,8405.4004,8433.4004,125991002
2015-06-02,8442.7998,8445.3496,8226.0498,8236.4502,151337992
2015-06-03,8232.4502,8236.7002,8094.1499,8135.1001,176662004
2015-06-04,8155.1499,8160.0498,8056.75,8130.6499,159470993
2015-06-05,8119.1499,8191,8100.1499,8114.7002,167055000
2015-06-08,8124.3501,8131,8030.5498,8044.1499,140076007
2015-06-09,8026.5,8057.1499,8005.1499,8022.3999,140218008
2015-06-10,8024.1499,8152.25,8023.7998,8124.4502,141029999
2015-06-11,8157.2998,8163.0498,7958.25,7965.3501,171349000
2015-06-12,7959.8501,7995.6001,7940.2998,7982.8999,140839993
2015-06-15,7986.6001,8057.7002,7944.8501,8013.8999,137116000
2015-06-16,8004.2002,8061.8501,7952.3501,8047.2998,127809004
2015-06-17,8084.2002,8136.8501,8048.9502,8091.5498,157206004
2015-06-18,8113.7002,8186.8999,8101.7998,8174.6001,149266006
2015-06-19,8201.1504,8250.7998,8195.6504,8224.9502,151576003
2015-06-22,8259.2998,8369.4502,8257.4004,8353.0996,126541996
2015-06-23,8377.4502,8398.4502,8334.9502,8381.5498,135845003
2015-06-24,8399.4004,8421.3496,8338.9004,8360.8496,134062998
2015-06-25,8336.25,8423.1504,8329.5,8398,207420998
2015-06-26,8393.9502,8408.5498,8339.7002,8381.0996,113959002
2015-06-29,8247.0498,8329.4502,8195.6504,8318.4004,136107000
2015-06-30,8316.3496,8378,8298.9502,8368.5,163365994
2015-07-01,8376.25,8481.5996,8370.1504,8453.0498,135887004
2015-07-02,8471.9502,8479.25,8433.2002,8444.9004,115471999
2015-07-03,8440.0996,8497.75,8424.1504,8484.9004,91142996
2015-07-06,8386.1504,8533.1504,8386.1504,8522.1504,104577999
2015-07-07,8525.5,8561.3496,8483.8496,8510.7998,126038000
2015-07-08,8439.2002,8457.5,8341.4004,8363.0498,193886994
2015-07-09,8364.8496,8400.2998,8323,8328.5498,135358996
2015-07-10,8365.7002,8377.0996,8315.4004,8360.5498,158884004
2015-07-13,8397.25,8471.6504,8355.4004,8459.6504,121380004
2015-07-14,8470.5996,8480.25,8424.0996,8454.0996,104893997
2015-07-15,8463.4004,8531.4004,8462.9502,8523.7998,108836004
2015-07-16,8546.1504,8616.0996,8542.9004,8608.0498,119637000
2015-07-17,8623.6504,8642.9502,8593.1504,8609.8496,108189999
2015-07-20,8623.9004,8624.0996,8559,8603.4502,93439001
2015-07-21,8601.5,8646.75,8517.9004,8529.4502,169151005
2015-07-22,8512.25,8643.9004,8498.6504,8633.5,141018006
2015-07-23,8643.9502,8654.75,8573.7998,8589.7998,136962998
2015-07-24,8588.1504,8589.1504,8513.5,8521.5498,131344998
2015-07-27,8492.0996,8492.2002,8351.5498,8361,140828000
2015-07-28,8371.0996,8397.4004,8321.75,8337,179984007
2015-07-29,8365.5996,8381.5,8338.4502,8375.0498,145399005
2015-07-30,8417,8458.9004,8408.2998,8421.7998,221939007
2015-07-31,8456.0996,8548.9502,8448,8532.8496,209629004
2015-08-03,8510.6504,8563.9502,8508.0996,8543.0498,161485996
2015-08-04,8564.0996,8565.1504,8448.25,8516.9004,193225998
2015-08-05,8547.4502,8591.8496,8545.8496,8567.9502,136947999
2015-08-06,8585.7998,8606.2998,8551.5,8588.6504,139116003
2015-08-07,8580.7998,8595.9502,8552.7002,8564.5996,148074004
2015-08-10,8577,8621.5498,8497.7998,8525.5996,127194997
2015-08-11,8548.4502,8556.25,8441.2998,8462.3496,159193006
2015-08-12,8445.7002,8446.9502,8337.9502,8349.4502,195903996
2015-08-13,8384.4502,8429.5,8339.75,8355.8496,195078996
