Date,open,high,low,Close,Volume
2014-12-25,0.09067,0.09094,0.09067,0.0908,0
2014-12-26,0.09085,0.09097,0.09085,0.09085,0
2014-12-29,0.09074,0.09158,0.09074,0.09095,0
2014-12-30,0.0909,0.0917,0.09083,0.09083,0
2014-12-31,0.09082,0.09101,0.09082,0.09091,0
2015-01-01,0.09096,0.09127,0.0909,0.0909,0
2015-01-02,0.0909,0.09158,0.0909,0.09131,0
2015-01-05,0.09132,0.09178,0.09115,0.09115,0
2015-01-06,0.09115,0.09132,0.09112,0.09112,0
2015-01-07,0.09113,0.09142,0.09113,0.09119,0
2015-01-08,0.09118,0.09151,0.09118,0.09125,0
2015-01-09,0.09127,0.09147,0.09094,0.09094,0
2015-01-12,0.09089,0.09148,0.09089,0.09136,0
2015-01-13,0.09135,0.09193,0.09122,0.09122,0
2015-01-14,0.09124,0.09212,0.09119,0.09119,0
2015-01-15,0.09125,0.09288,0.09125,0.09169,0
2015-01-16,0.09168,0.09197,0.09168,0.09184,0
2015-01-19,0.09182,0.09193,0.09148,0.09148,0
2015-01-20,0.09153,0.09212,0.09153,0.09166,0
2015-01-21,0.09167,0.09185,0.09157,0.09157,0
2015-01-22,0.09157,0.09329,0.09157,0.09197,0
2015-01-23,0.09196,0.09267,0.09196,0.09267,0
2015-01-26,0.09271,0.09322,0.09219,0.09219,0
2015-01-27,0.09219,0.09236,0.09207,0.09207,0
2015-01-28,0.09193,0.09225,0.09193,0.09201,0
2015-01-29,0.09209,0.0923,0.09204,0.09204,0
2015-01-30,0.09206,0.09234,0.09206,0.09232,0
2015-02-02,0.09229,0.09237,0.092,0.092,0
2015-02-03,0.09199,0.09221,0.09181,0.09181,0
2015-02-04,0.09177,0.09218,0.09177,0.092,0
2015-02-05,0.09199,0.09265,0.09193,0.09193,0
2015-02-06,0.09179,0.09296,0.09179,0.09295,0
2015-02-09,0.09295,0.09296,0.09208,0.09208,0
2015-02-10,0.09208,0.09233,0.09208,0.09209,0
2015-02-11,0.09207,0.09231,0.09206,0.09206,0
2015-02-12,0.09204,0.09224,0.09204,0.09204,0
2015-02-13,0.09205,0.09213,0.09205,0.09208,0
2015-02-16,0.09207,0.09232,0.09203,0.09203,0
2015-02-17,0.09202,0.09244,0.09196,0.09196,0
2015-02-18,0.09196,0.09239,0.09196,0.09214,0
2015-02-19,0.09214,0.09254,0.09208,0.09208,0
2015-02-20,0.09207,0.09253,0.09159,0.09159,0
2015-02-23,0.09158,0.09241,0.09158,0.09215,0
2015-02-24,0.09215,0.09233,0.09215,0.09217,0
2015-02-25,0.09217,0.09234,0.09187,0.09215,0
2015-02-26,0.09213,0.09351,0.09213,0.09242,0
2015-02-27,0.09242,0.09339,0.09241,0.09241,0
2015-03-02,0.09343,0.09371,0.09243,0.09243,0
2015-03-03,0.09251,0.09266,0.09244,0.09244,0
2015-03-04,0.09245,0.09277,0.09245,0.09272,0
2015-03-05,0.09272,0.09333,0.0927,0.0927,0
2015-03-06,0.0927,0.09339,0.0927,0.09339,0
2015-03-09,0.09334,0.09356,0.09302,0.09302,0
2015-03-10,0.09303,0.09343,0.09303,0.09335,0
2015-03-11,0.09334,0.09451,0.09334,0.09411,0
2015-03-12,0.09405,0.09454,0.09334,0.09334,0
2015-03-13,0.09336,0.09461,0.09336,0.09425,0
2015-03-16,0.0945,0.09466,0.09359,0.09359,0
2015-03-17,0.09358,0.09372,0.09349,0.09368,0
2015-03-18,0.09367,0.09367,0.09248,0.09317,0
2015-03-19,0.09321,0.09387,0.09208,0.09346,0
2015-03-20,0.0935,0.0935,0.09284,0.09284,0
2015-03-23,0.09313,0.09326,0.09286,0.09286,0
2015-03-24,0.093,0.09363,0.09292,0.09292,0
2015-03-25,0.09292,0.09309,0.09282,0.09282,0
2015-03-26,0.09282,0.09328,0.09282,0.09315,0
2015-03-27,0.09301,0.09344,0.09291,0.09291,0
2015-03-30,0.09297,0.09322,0.09297,0.09321,0
2015-03-31,0.0932,0.09363,0.0932,0.09325,0
2015-04-01,0.09325,0.09333,0.09325,0.09325,0
2015-04-02,0.09325,0.09334,0.09299,0.09299,0
2015-04-03,0.093,0.09328,0.09282,0.09305,0
2015-04-06,0.09316,0.09358,0.0929,0.0929,0
2015-04-07,0.09291,0.09349,0.09291,0.09313,0
2015-04-08,0.09311,0.09341,0.09311,0.0934,0
2015-04-09,0.0934,0.09411,0.0934,0.0934,0
2015-04-10,0.09341,0.09464,0.09341,0.09343,0
2015-04-13,0.09345,0.09385,0.09345,0.0938,0
2015-04-14,0.09378,0.09389,0.09343,0.09343,0
2015-04-15,0.09342,0.09402,0.09331,0.09331,0
2015-04-16,0.09333,0.09366,0.09309,0.09309,0
2015-04-17,0.09308,0.0932,0.09296,0.09296,0
2015-04-20,0.0926,0.0933,0.0926,0.09318,0
2015-04-21,0.0932,0.09349,0.0932,0.09321,0
2015-04-22,0.09321,0.0934,0.09321,0.09333,0
2015-04-23,0.09332,0.09359,0.09297,0.09297,0
2015-04-24,0.09298,0.09309,0.09281,0.09281,0
2015-04-27,0.105,0.105,0.09276,0.09276,0
2015-04-28,0.09275,0.0929,0.09195,0.09245,0
2015-04-29,0.09244,0.09253,0.09184,0.09203,0
2015-04-30,0.092,0.09212,0.09168,0.09168,0
2015-05-01,0.09168,0.09205,0.09154,0.09204,0
2015-05-04,0.0918,0.09213,0.0918,0.09188,0
2015-05-05,0.09188,0.0924,0.09177,0.09177,0
2015-05-06,0.09176,0.09182,0.09127,0.09127,0
2015-05-07,0.09128,0.09183,0.09128,0.09153,0
2015-05-08,0.09155,0.09217,0.09155,0.09172,0
2015-05-11,0.09208,0.09263,0.09188,0.09188,0
2015-05-12,0.09187,0.09197,0.09173,0.09173,0
2015-05-13,0.09171,0.09182,0.09125,0.09125,0
2015-05-14,0.09125,0.09138,0.09108,0.09108,0
2015-05-15,0.09108,0.09145,0.09104,0.09104,0
2015-05-18,0.09063,0.09179,0.09063,0.09143,0
2015-05-19,0.09149,0.09223,0.09149,0.09204,0
2015-05-20,0.09213,0.09222,0.0921,0.0921,0
2015-05-21,0.09213,0.09227,0.09208,0.09208,0
2015-05-22,0.09192,0.09253,0.09192,0.09246,0
2015-05-25,0.09257,0.09274,0.09257,0.09267,0
2015-05-26,0.09249,0.09306,0.09249,0.09285,0
2015-05-27,0.09288,0.09304,0.09279,0.09279,0
2015-05-28,0.09275,0.09294,0.09264,0.09264,0
2015-05-29,0.09264,0.09272,0.09228,0.09228,0
2015-06-01,0.09255,0.09328,0.09255,0.09268,0
2015-06-02,0.09269,0.09277,0.0919,0.0919,0
2015-06-03,0.09201,0.09218,0.09122,0.09157,0
2015-06-04,0.09141,0.09184,0.09141,0.09171,0
2015-06-05,0.0917,0.09222,0.09167,0.09212,0
2015-06-08,0.09216,0.09226,0.0915,0.0915,0
2015-06-09,0.09153,0.09178,0.09153,0.0917,0
2015-06-10,0.09153,0.09175,0.0914,0.0914,0
2015-06-11,0.09141,0.09195,0.09141,0.09166,0
2015-06-12,0.09166,0.09208,0.09166,0.09167,0
2015-06-15,0.09189,0.09213,0.09153,0.09153,0
2015-06-16,0.09133,0.09185,0.09133,0.09175,0
2015-06-17,0.09163,0.0918,0.09134,0.09134,0
2015-06-18,0.09134,0.09164,0.09127,0.09127,0
2015-06-19,0.0911,0.0916,0.0911,0.09126,0
2015-06-22,0.09126,0.09152,0.09117,0.09134,0
2015-06-23,0.09134,0.09208,0.09134,0.09197,0
2015-06-24,0.09172,0.09202,0.09172,0.09177,0
2015-06-25,0.09176,0.092,0.09176,0.09186,0
2015-06-26,0.09186,0.09227,0.09186,0.09221,0
2015-06-29,0.09328,0.09398,0.09151,0.09175,0
2015-06-30,0.09169,0.09239,0.09169,0.09205,0
2015-07-01,0.09214,0.09246,0.09214,0.09223,0
2015-07-02,0.09224,0.09266,0.09215,0.09215,0
2015-07-03,0.09223,0.09225,0.09196,0.09196,0
2015-07-06,0.09303,0.09323,0.09239,0.09242,0
2015-07-07,0.0922,0.09277,0.0922,0.0924,0
2015-07-08,0.09243,0.09259,0.09203,0.09203,0
2015-07-09,0.09218,0.09248,0.09218,0.09229,0
2015-07-10,0.09228,0.09231,0.09203,0.0922,0
2015-07-13,0.09229,0.09309,0.09229,0.09241,0
2015-07-14,0.0924,0.09276,0.0924,0.0924,0
2015-07-15,0.0924,0.0928,0.0924,0.09259,0
2015-07-16,0.09246,0.09289,0.09246,0.09282,0
2015-07-17,0.09281,0.09307,0.09268,0.09268,0
2015-07-20,0.09268,0.0932,0.09268,0.09299,0
2015-07-21,0.09299,0.09313,0.09257,0.09257,0
2015-07-22,0.09257,0.09288,0.09257,0.0926,0
2015-07-23,0.09264,0.09276,0.09243,0.09243,0
2015-07-24,0.09242,0.09272,0.09238,0.09238,0
2015-07-27,0.09216,0.09249,0.09201,0.09201,0
2015-07-28,0.09201,0.09243,0.09201,0.09212,0
2015-07-29,0.0921,0.09254,0.0921,0.09235,0
2015-07-30,0.09238,0.09295,0.09238,0.09255,0
2015-07-31,0.09253,0.09283,0.09236,0.09283,0
2015-08-03,0.09283,0.09292,0.09246,0.09246,0
2015-08-04,0.09252,0.09285,0.09252,0.09268,0
2015-08-05,0.09267,0.09297,0.09262,0.09262,0
2015-08-06,0.09262,0.09292,0.09254,0.09254,0
2015-08-07,0.09254,0.09279,0.09242,0.09242,0
2015-08-10,0.09198,0.09263,0.09198,0.09233,0
2015-08-11,0.09233,0.09254,0.09217,0.09217,0
2015-08-12,0.09214,0.09226,0.09178,0.09178,0
2015-08-13,0.09178,0.09204,0.09178,0.0918,0
2015-08-14,0.09178,0.09217,0.09178,0.09209,0
2015-08-17,0.09205,0.0925,0.09203,0.09203,0
2015-08-18,0.09202,0.09251,0.09202,0.09219,0
2015-08-19,0.0922,0.09235,0.09188,0.09188,0
2015-08-20,0.09188,0.09206,0.09152,0.09152,0
2015-08-21,0.09165,0.09165,0.091,0.091,0
2015-08-24,0.09117,0.09117,0.08926,0.09046,0
2015-08-25,0.09046,0.09155,0.09046,0.09068,0
2015-08-26,0.09061,0.09164,0.09061,0.09128,0
2015-08-27,0.0913,0.09188,0.0913,0.0915,0
2015-08-28,0.0915,0.09201,0.0915,0.09153,0
2015-08-31,0.0921,0.0921,0.09162,0.09162,0
2015-09-01,0.0916,0.09163,0.09131,0.09131,0
2015-09-02,0.09129,0.09179,0.09129,0.09156,0
2015-09-03,0.09157,0.09204,0.09157,0.09189,0
2015-09-04,0.09189,0.09198,0.09177,0.09177,0
2015-09-07,0.09177,0.09198,0.09172,0.09172,0
2015-09-08,0.09172,0.09187,0.09158,0.09158,0
2015-09-09,0.09159,0.09193,0.09153,0.09153,0
2015-09-10,0.09155,0.09181,0.09135,0.09135,0
2015-09-11,0.09136,0.09154,0.091,0.091,0
2015-09-14,0.09116,0.09144,0.09116,0.09126,0
2015-09-15,0.09124,0.09147,0.09124,0.09138,0
2015-09-16,0.09139,0.09167,0.09132,0.09132,0
2015-09-17,0.09132,0.09145,0.09087,0.09092,0
2015-09-18,0.09093,0.09189,0.09093,0.09189,0
2015-09-21,0.09207,0.09212,0.09159,0.09163,0
2015-09-22,0.09164,0.09199,0.09164,0.09183,0
2015-09-23,0.09183,0.09205,0.09163,0.09163,0
2015-09-24,0.09163,0.09223,0.09163,0.09223,0
2015-09-25,0.09168,0.09222,0.09135,0.09135,0
2015-09-28,0.09138,0.09189,0.09138,0.09146,0
2015-09-29,0.09148,0.09173,0.09144,0.09144,0
2015-09-30,0.09144,0.09183,0.09144,0.09168,0
2015-10-01,0.09169,0.09204,0.09164,0.09164,0
2015-10-02,0.09164,0.09219,0.09164,0.09219,0
2015-10-05,0.09213,0.09213,0.09164,0.09164,0
2015-10-06,0.09168,0.09172,0.09137,0.09137,0
2015-10-07,0.09139,0.09161,0.09139,0.09148,0
2015-10-08,0.09136,0.09159,0.09135,0.09135,0
2015-10-09,0.09134,0.09138,0.0911,0.0911,0
2015-10-12,0.09115,0.09134,0.09094,0.0911,0
2015-10-13,0.09111,0.09123,0.09103,0.09103,0
2015-10-14,0.09103,0.09108,0.09073,0.09073,0
2015-10-15,0.09073,0.09114,0.09073,0.09104,0
2015-10-16,0.09104,0.09131,0.09104,0.09124,0
2015-10-19,0.09096,0.09134,0.09096,0.09116,0
2015-10-20,0.09115,0.09135,0.09102,0.09102,0
2015-10-21,0.09102,0.09134,0.09102,0.09119,0
2015-10-22,0.09108,0.09225,0.09108,0.09189,0
2015-10-23,0.09188,0.09241,0.09188,0.09217,0
2015-10-26,0.09232,0.09248,0.09205,0.09205,0
2015-10-27,0.09205,0.0922,0.09205,0.09206,0
2015-10-28,0.09207,0.09336,0.09207,0.09251,0
2015-10-29,0.09251,0.09299,0.0923,0.0923,0
2015-10-30,0.09231,0.09243,0.09231,0.09241,0
2015-11-02,0.0922,0.09235,0.09218,0.09218,0
2015-11-03,0.0922,0.09268,0.0922,0.09231,0
2015-11-04,0.09237,0.09336,0.09237,0.09257,0
2015-11-05,0.0927,0.09292,0.0927,0.0927,0
2015-11-06,0.09263,0.09334,0.09263,0.09333,0
2015-11-09,0.09331,0.09349,0.0931,0.0931,0
2015-11-10,0.09309,0.09371,0.09309,0.09312,0
2015-11-11,0.09318,0.09351,0.093,0.093,0
2015-11-12,0.09312,0.0933,0.09275,0.09275,0
2015-11-13,0.09275,0.09347,0.09275,0.09307,0
2015-11-16,0.09299,0.09374,0.09299,0.09331,0
2015-11-17,0.0933,0.09416,0.0933,0.09348,0
2015-11-18,0.09351,0.09415,0.0934,0.0934,0
2015-11-19,0.0934,0.09344,0.09303,0.09303,0
2015-11-20,0.09305,0.09387,0.09305,0.09372,0
2015-11-23,0.09385,0.09424,0.09365,0.09365,0
2015-11-24,0.09366,0.09373,0.09366,0.09367,0
2015-11-25,0.09364,0.09421,0.09345,0.09345,0
