Date,open,high,low,Close,Volume
2019-12-31,1000,1000,1000,1000,NaN
2020-01-02,993.98999,993.98999,993.98999,993.98999,NaN
2020-01-03,997.90002,997.90002,997.90002,997.90002,NaN
2020-01-06,996.40997,996.40997,996.40997,996.40997,NaN
2020-01-07,995.48999,995.48999,995.48999,995.48999,NaN
2020-01-08,1001.3,1001.3,1001.3,1001.3,NaN
2020-01-09,1016.9,1016.9,1016.9,1016.9,NaN
2020-01-10,1011,1011,1011,1011,NaN
2020-01-13,1004.88,1004.88,1004.88,1004.88,NaN
2020-01-14,1011.13,1011.13,1011.13,1011.13,NaN
2020-01-15,1011.96,1011.96,1011.96,1011.96,NaN
2020-01-16,1016.08,1016.08,1016.08,1016.08,NaN
2020-01-17,1022.49,1022.49,1022.49,1022.49,NaN
2020-01-20,1022.45,1022.45,1022.45,1022.45,NaN
2020-01-21,1024.58,1024.58,1024.58,1024.58,NaN
2020-01-22,1032.1899,1032.1899,1032.1899,1032.1899,NaN
2020-01-23,1027.34,1027.34,1027.34,1027.34,NaN
2020-01-24,1029.6801,1029.6801,1029.6801,1029.6801,NaN
2020-01-27,1029.04,1029.04,1029.04,1029.04,NaN
2020-01-28,1027.29,1027.29,1027.29,1027.29,NaN
2020-01-29,1023.82,1023.82,1023.82,1023.82,NaN
2020-01-30,1018.34,1018.34,1018.34,1018.34,NaN
2020-01-31,1025.1899,1025.1899,1025.1899,1025.1899,NaN
2020-02-03,1001.3,1001.3,1001.3,1001.3,NaN
2020-02-04,1004.58,1004.58,1004.58,1004.58,NaN
2020-02-05,1006.59,1006.59,1006.59,1006.59,NaN
2020-02-06,995.07001,995.07001,995.07001,995.07001,NaN
2020-02-07,992.71997,992.71997,992.71997,992.71997,NaN
2020-02-10,994.77002,994.77002,994.77002,994.77002,NaN
2020-02-11,980.48999,980.48999,980.48999,980.48999,NaN
2020-02-12,979.44,979.44,979.44,979.44,NaN
2020-02-13,996.75,996.75,996.75,996.75,NaN
2020-02-14,1007.78,1007.78,1007.78,1007.78,NaN
2020-02-17,1007.32,1007.32,1007.32,1007.32,NaN
2020-02-18,999.96002,999.96002,999.96002,999.96002,NaN
2020-02-19,1001.25,1001.25,1001.25,1001.25,NaN
2020-02-20,1001.6,1001.6,1001.6,1001.6,NaN
2020-02-21,1022.08,1022.08,1022.08,1022.08,NaN
2020-02-24,1015.3,1015.3,1015.3,1015.3,NaN
2020-02-25,1019.55,1019.55,1019.55,1019.55,NaN
2020-02-26,1015.75,1015.75,1015.75,1015.75,NaN
2020-02-27,1012.44,1012.44,1012.44,1012.44,NaN
2020-02-28,1001.5,1001.5,1001.5,1001.5,NaN
2020-03-02,994.32001,994.32001,994.32001,994.32001,NaN
2020-03-03,973.75,973.75,973.75,973.75,NaN
2020-03-04,966.31,966.31,966.31,966.31,NaN
2020-03-05,961.79999,961.79999,961.79999,961.79999,NaN
2020-03-06,932.33002,932.33002,932.33002,932.33002,NaN
2020-03-09,874.84003,874.84003,874.84003,874.84003,NaN
2020-03-10,927.29999,927.29999,927.29999,927.29999,NaN
2020-03-11,922.81,922.81,922.81,922.81,NaN
2020-03-12,857.01001,857.01001,857.01001,857.01001,NaN
2020-03-13,855.73999,855.73999,855.73999,855.73999,NaN
2020-03-16,775.17999,775.17999,775.17999,775.17999,NaN
2020-03-17,748.26001,748.26001,748.26001,748.26001,NaN
2020-03-18,720.29999,720.29999,720.29999,720.29999,NaN
2020-03-19,747.75,747.75,747.75,747.75,NaN
2020-03-20,776.58002,776.58002,776.58002,776.58002,NaN
2020-03-23,807.03003,807.03003,807.03003,807.03003,NaN
2020-03-24,825.82001,825.82001,825.82001,825.82001,NaN
2020-03-25,800.96002,800.96002,800.96002,800.96002,NaN
2020-03-26,791.40997,791.40997,791.40997,791.40997,NaN
2020-03-27,788.56,788.56,788.56,788.56,NaN
2020-03-30,787.34998,787.34998,787.34998,787.34998,NaN
2020-03-31,785.42999,785.42999,785.42999,785.42999,NaN
2020-04-01,777.95001,777.95001,777.95001,777.95001,NaN
2020-04-02,773.40002,773.40002,773.40002,773.40002,NaN
2020-04-03,760.08002,760.08002,760.08002,760.08002,NaN
2020-04-06,745.64001,745.64001,745.64001,745.64001,NaN
2020-04-07,729.70001,729.70001,729.70001,729.70001,NaN
2020-04-08,741.54999,741.54999,741.54999,741.54999,NaN
2020-04-09,747.89001,747.89001,747.89001,747.89001,NaN
2020-04-10,753.87,753.87,753.87,753.87,NaN
2020-04-13,757.39001,757.39001,757.39001,757.39001,NaN
2020-04-14,753.53003,753.53003,753.53003,753.53003,NaN
2020-04-15,743.73999,743.73999,743.73999,743.73999,NaN
2020-04-16,739.28003,739.28003,739.28003,739.28003,NaN
2020-04-17,734.91998,734.91998,734.91998,734.91998,NaN
2020-04-20,733.25,733.25,733.25,733.25,NaN
2020-04-21,725.46997,725.46997,725.46997,725.46997,NaN
2020-04-22,725.66998,725.66998,725.66998,725.66998,NaN
2020-04-23,726.87,726.87,726.87,726.87,NaN
2020-04-24,730.33002,730.33002,730.33002,730.33002,NaN
2020-04-27,733.84998,733.84998,733.84998,733.84998,NaN
2020-04-28,742.53998,742.53998,742.53998,742.53998,NaN
2020-04-29,753.40997,753.40997,753.40997,753.40997,NaN
2020-04-30,763.34003,763.34003,763.34003,763.34003,NaN
2020-05-04,767.01001,767.01001,767.01001,767.01001,NaN
2020-05-05,778.51001,778.51001,778.51001,778.51001,NaN
2020-05-06,782.78003,782.78003,782.78003,782.78003,NaN
2020-05-07,788.52002,788.52002,788.52002,788.52002,NaN
2020-05-08,773.35999,773.35999,773.35999,773.35999,NaN
2020-05-11,772.71002,772.71002,772.71002,772.71002,NaN
2020-05-12,756.45001,756.45001,756.45001,756.45001,NaN
2020-05-13,749.06,749.06,749.06,749.06,NaN
2020-05-14,756.16998,756.16998,756.16998,756.16998,NaN
2020-05-15,764.48999,764.48999,764.48999,764.48999,NaN
2020-05-18,778.06,778.06,778.06,778.06,NaN
2020-05-19,771.91998,771.91998,771.91998,771.91998,NaN
2020-05-20,773.81,773.81,773.81,773.81,NaN
2020-05-21,781.83002,781.83002,781.83002,781.83002,NaN
2020-05-22,789.67999,789.67999,789.67999,789.67999,NaN
2020-05-26,804.31,804.31,804.31,804.31,NaN
2020-05-27,812.28998,812.28998,812.28998,812.28998,NaN
2020-05-28,802.81,802.81,802.81,802.81,NaN
2020-05-29,803.70001,803.70001,803.70001,803.70001,NaN
2020-06-01,811.40002,811.40002,811.40002,811.40002,NaN
2020-06-02,817.20001,817.20001,817.20001,817.20001,NaN
2020-06-03,825.22998,825.22998,825.22998,825.22998,NaN
2020-06-04,828.83002,828.83002,828.83002,828.83002,NaN
2020-06-05,821.69,821.69,821.69,821.69,NaN
2020-06-08,823.92999,823.92999,823.92999,823.92999,NaN
2020-06-09,821.03998,821.03998,821.03998,821.03998,NaN
2020-06-10,813.42999,813.42999,813.42999,813.42999,NaN
2020-06-11,808.04999,808.04999,808.04999,808.04999,NaN
2020-06-12,802.17999,802.17999,802.17999,802.17999,NaN
2020-06-15,810.57001,810.57001,810.57001,810.57001,NaN
2020-06-16,816.53003,816.53003,816.53003,816.53003,NaN
2020-06-17,848.03003,848.03003,848.03003,848.03003,NaN
2020-06-18,842.5,842.5,842.5,842.5,NaN
2020-06-19,841.57001,841.57001,841.57001,841.57001,NaN
2020-06-22,843.23999,843.23999,843.23999,843.23999,NaN
2020-06-23,838.88,838.88,838.88,838.88,NaN
2020-06-24,835.91998,835.91998,835.91998,835.91998,NaN
2020-06-25,830.90997,830.90997,830.90997,830.90997,NaN
2020-06-26,821.71002,821.71002,821.71002,821.71002,NaN
2020-06-29,818.97998,818.97998,818.97998,818.97998,NaN
2020-06-30,827.21997,827.21997,827.21997,827.21997,NaN
2020-07-01,830.59003,830.59003,830.59003,830.59003,NaN
2020-07-02,829.84998,829.84998,829.84998,829.84998,NaN
2020-07-03,832.07001,832.07001,832.07001,832.07001,NaN
2020-07-06,828.26001,828.26001,828.26001,828.26001,NaN
2020-07-07,828.14001,828.14001,828.14001,828.14001,NaN
2020-07-08,827.01001,827.01001,827.01001,827.01001,NaN
2020-07-09,831.08002,831.08002,831.08002,831.08002,NaN
2020-07-10,824.52002,824.52002,824.52002,824.52002,NaN
2020-07-13,826.46997,826.46997,826.46997,826.46997,NaN
2020-07-14,824.22998,824.22998,824.22998,824.22998,NaN
2020-07-15,834.04999,834.04999,834.04999,834.04999,NaN
2020-07-16,836.28998,836.28998,836.28998,836.28998,NaN
2020-07-17,835.78003,835.78003,835.78003,835.78003,NaN
2020-07-20,834.84003,834.84003,834.84003,834.84003,NaN
