date,close_indice,close_future
2015-01-01,"43,696.74","43,875"
2015-01-02,"43,696.74","43,875"
2015-01-03,"43,696.74","43,875"
2015-01-04,"43,696.74","43,875"
2015-01-05,"41,990.24","42,147"
2015-01-06,"42,747.37","42,967"
2015-01-07,"43,086.35","43,346"
2015-01-08,"43,670.79","43,948"
2015-01-09,"42,994.58","43,181"
2015-01-10,"42,994.58","43,181"
2015-01-11,"42,994.58","43,181"
2015-01-12,"42,478.59","42,671"
2015-01-13,"43,428.83","43,691"
2015-01-14,"42,038.08","42,186"
2015-01-15,"42,533.81","42,840"
2015-01-16,"42,455.42","42,669"
2015-01-17,"42,455.42","42,669"
2015-01-18,"42,455.42","42,669"
2015-01-19,"42,989.54","43,148"
2015-01-20,"43,074.85","43,228"
2015-01-21,"43,480.80","43,615"
2015-01-22,"43,725.20","43,889"
2015-01-23,"43,647.44","43,760"
2015-01-24,"43,647.44","43,760"
2015-01-25,"43,647.44","43,760"
2015-01-26,"44,197.55","44,304"
2015-01-27,"44,531.76","44,658"
2015-01-28,"45,002.40","45,125"
2015-01-29,"44,768.68","44,868"
2015-01-30,"45,111.03","45,220"
2015-01-31,"45,111.03","45,220"
2015-02-01,"45,111.03","45,220"
2015-02-02,"45,188.36","45,212"
2015-02-03,"45,708.71","45,742"
2015-02-04,"45,412.12","45,485"
2015-02-05,"45,450.89","45,508"
2015-02-06,"45,744.27","45,796"
2015-02-07,"45,744.27","45,796"
2015-02-08,"45,744.27","45,796"
2015-02-09,"45,875.33","45,911"
2015-02-10,"45,916.40","45,949"
2015-02-11,"45,891.46","45,917"
2015-02-12,"46,289.79","46,285"
2015-02-13,"46,739.97","46,733"
2015-02-14,"46,739.97","46,733"
2015-02-15,"46,739.97","46,733"
2015-02-16,"46,822.44","46,795"
2015-02-17,"46,714.30","46,745"
2015-02-18,"46,465.08","46,424"
2015-02-19,"46,716.65","46,745"
2015-02-20,"46,880.64","46,814"
2015-02-21,"46,880.64","46,814"
2015-02-22,"46,880.64","46,814"
2015-02-23,"47,163.10","47,173"
2015-02-24,"47,178.36","47,091"
2015-02-25,"47,029.95","46,970"
2015-02-26,"47,161.17","47,088"
2015-02-27,"47,161.83","47,105"
2015-02-28,"47,161.83","47,105"
2015-03-01,"47,161.83","47,105"
2015-03-02,"46,773.81","46,709"
2015-03-03,"46,976.08","46,842"
2015-03-04,"46,744.23","46,646"
2015-03-05,"47,105.87","46,985"
2015-03-06,"47,236.40","47,073"
2015-03-07,"47,236.40","47,073"
2015-03-08,"47,236.40","47,073"
2015-03-09,"46,644.35","46,636"
2015-03-10,"46,148.91","46,135"
2015-03-11,"45,825.87","45,828"
2015-03-12,"46,303.16","46,269"
2015-03-13,"45,872.93","45,796"
2015-03-14,"45,872.93","45,796"
2015-03-15,"45,872.93","45,796"
2015-03-16,"46,202.57","46,196"
2015-03-17,"46,269.27","46,295"
2015-03-18,"46,181.04","46,164"
2015-03-19,"46,699.35","47,043"
2015-03-20,"46,592.78","46,909"
2015-03-21,"46,592.78","46,909"
2015-03-22,"46,592.78","46,909"
2015-03-23,"46,480.63","46,910"
2015-03-24,"46,735.06","47,173"
2015-03-25,"46,182.11","46,605"
2015-03-26,"45,467.39","45,915"
2015-03-27,"45,678.97","46,030"
2015-03-28,"45,678.97","46,030"
2015-03-29,"45,678.97","46,030"
2015-03-30,"46,293.05","46,644"
2015-03-31,"46,016.98","46,391"
2015-04-01,"46,128.41","46,465"
2015-04-02,"46,048.96","46,410"
2015-04-03,"46,048.96","46,410"
2015-04-04,"46,048.96","46,410"
2015-04-05,"46,048.96","46,410"
2015-04-06,"46,048.96","46,410"
2015-04-07,"46,418.90","46,795"
2015-04-08,"46,630.69","46,996"
2015-04-09,"46,779.77","47,151"
2015-04-10,"47,134.40","47,465"
2015-04-11,"47,134.40","47,465"
2015-04-12,"47,134.40","47,465"
2015-04-13,"47,307.74","47,678"
2015-04-14,"47,039.79","47,444"
2015-04-15,"47,452.93","47,835"
2015-04-16,"48,003.52","48,363"
2015-04-17,"47,491.87","47,865"
2015-04-18,"47,491.87","47,865"
2015-04-19,"47,491.87","47,865"
2015-04-20,"47,572.87","47,979"
2015-04-21,"47,827.43","48,241"
2015-04-22,"47,997.80","48,420"
2015-04-23,"48,411.02","48,803"
2015-04-24,"48,965.36","49,333"
2015-04-25,"48,965.36","49,333"
2015-04-26,"48,965.36","49,333"
2015-04-27,"48,965.36","49,333"
2015-04-28,"48,758.27","49,104"
2015-04-29,"48,296.08","48,710"
2015-04-30,"48,195.48","48,544"
2015-05-01,"48,195.48","48,544"
2015-05-02,"48,195.48","48,544"
2015-05-03,"48,195.48","48,544"
2015-05-04,"48,443.21","48,783"
2015-05-05,"48,312.41","48,667"
2015-05-06,"47,707.62","48,015"
2015-05-07,"47,198.02","47,495"
2015-05-08,"47,716.53","48,051"
